Date,Open,High,Low,Close,Adj Close,Volume
1992-03-19,0.228184,0.230163,0.201071,0.228184,0.169277,205745408
1992-03-20,0.247381,0.249360,0.228184,0.247381,0.183519,32442204
1992-03-23,0.268755,0.268755,0.249360,0.268755,0.199375,14843472
1992-03-24,0.251339,0.274494,0.235902,0.251339,0.186455,19590796
1992-03-25,0.239663,0.251339,0.239663,0.239663,0.177793,4158759
1992-03-26,0.228184,0.247381,0.228184,0.228184,0.169277,8304583
1992-03-27,0.239663,0.239663,0.228184,0.239663,0.177793,8175228
1992-03-30,0.235902,0.243621,0.235902,0.235902,0.175003,3447307
1992-03-31,0.235902,0.243621,0.235902,0.235902,0.175003,2063210
1992-04-01,0.235902,0.243621,0.235902,0.235902,0.175003,3621936
1992-04-02,0.243621,0.243621,0.235902,0.243621,0.180729,1319419
1992-04-03,0.228184,0.243621,0.228184,0.228184,0.169277,4158759
1992-04-06,0.228184,0.235902,0.228184,0.228184,0.169277,5083646
1992-04-07,0.228184,0.235902,0.228184,0.228184,0.169277,4999566
1992-04-08,0.212748,0.231944,0.212748,0.212748,0.157826,15186263
1992-04-09,0.216508,0.224226,0.208789,0.216508,0.160616,15102182
1992-04-10,0.216508,0.220466,0.212748,0.216508,0.160616,8013534
1992-04-13,0.212748,0.220466,0.212748,0.212748,0.157826,4288114
1992-04-14,0.212748,0.216508,0.212748,0.212748,0.157826,4352791
1992-04-15,0.212748,0.216508,0.212748,0.212748,0.157826,2910484
1992-04-16,0.212748,0.216508,0.208789,0.212748,0.157826,3453775
1992-04-20,0.208789,0.212748,0.205029,0.208789,0.154889,1254742
1992-04-21,0.189593,0.205029,0.189593,0.189593,0.140649,2211968
1992-04-22,0.166240,0.189593,0.166240,0.166240,0.123325,15380295
1992-04-23,0.177916,0.185635,0.168219,0.177916,0.131986,16337521
1992-04-24,0.177916,0.177916,0.170198,0.177916,0.131986,1261210
1992-04-27,0.170198,0.177916,0.170198,0.170198,0.126261,2690581
1992-04-28,0.175937,0.177916,0.170198,0.175937,0.130518,2160226
1992-04-29,0.177916,0.177916,0.170198,0.177916,0.131986,155225
1992-04-30,0.181676,0.185635,0.177916,0.181676,0.134776,4242840
1992-05-01,0.189593,0.197311,0.185635,0.189593,0.140649,1629871
1992-05-04,0.208789,0.212748,0.189593,0.208789,0.154889,1345290
1992-05-05,0.201071,0.208789,0.197311,0.201071,0.149164,1920920
1992-05-06,0.193353,0.205029,0.185635,0.193353,0.143438,5141856
1992-05-07,0.185635,0.193353,0.185635,0.185635,0.137713,2606500
1992-05-08,0.189593,0.197311,0.189593,0.189593,0.140649,420403
1992-05-11,0.197311,0.197311,0.189593,0.197311,0.146374,1306484
1992-05-12,0.185635,0.197311,0.185635,0.185635,0.137713,1351758
1992-05-13,0.185635,0.193353,0.183655,0.185635,0.137713,1099516
1992-05-14,0.179895,0.185635,0.177916,0.179895,0.133454,4760259
1992-05-15,0.181676,0.181676,0.173958,0.181676,0.134776,595032
1992-05-18,0.177916,0.181676,0.170198,0.177916,0.131986,1785097
1992-05-19,0.172177,0.177916,0.170198,0.172177,0.127729,1552258
1992-05-20,0.173958,0.181676,0.173958,0.173958,0.129050,679113
1992-05-21,0.177916,0.181676,0.173958,0.177916,0.131986,2296049
1992-05-22,0.177916,0.181676,0.173958,0.177916,0.131986,763193
1992-05-26,0.173958,0.181676,0.170198,0.173958,0.129050,3524920
1992-05-27,0.170198,0.177916,0.166240,0.170198,0.126261,3945323
1992-05-28,0.168219,0.173958,0.166240,0.168219,0.124793,19849506
1992-05-29,0.193353,0.193353,0.170198,0.193353,0.143438,42286111
1992-06-01,0.212748,0.212748,0.191374,0.212748,0.157826,1953258
1992-06-02,0.212748,0.220466,0.208789,0.212748,0.157826,3337355
1992-06-03,0.212748,0.216508,0.212748,0.212748,0.157826,743790
1992-06-04,0.216508,0.216508,0.208789,0.216508,0.160616,3078646
1992-06-05,0.208789,0.216508,0.208789,0.208789,0.154889,1933855
1992-06-08,0.210769,0.212748,0.208789,0.210769,0.156358,6286647
1992-06-09,0.201071,0.216508,0.201071,0.201071,0.149164,5200066
1992-06-10,0.205029,0.212748,0.201071,0.205029,0.152100,1442306
1992-06-11,0.201071,0.205029,0.201071,0.201071,0.149164,2774662
1992-06-12,0.201071,0.205029,0.201071,0.201071,0.149164,905484
1992-06-15,0.205029,0.205029,0.199092,0.205029,0.152100,2677646
1992-06-16,0.205029,0.205029,0.197311,0.205029,0.152100,252242
1992-06-17,0.195332,0.201071,0.193353,0.195332,0.144906,245774
1992-06-18,0.197311,0.197311,0.185635,0.197311,0.146374,892548
